iter	Passed	Remaining
820	1138	248
821	1140	247
822	1142	245
823	1144	244
824	1145	243
825	1148	241
826	1150	240
827	1152	239
828	1154	238
829	1156	236
830	1157	235
831	1159	234
832	1161	232
833	1162	231
834	1164	230
835	1165	228
836	1167	227
837	1168	225
838	1170	224
839	1171	223
840	1173	221
841	1175	220
842	1176	219
843	1178	217
844	1179	216
845	1181	215
846	1182	213
847	1183	212
848	1185	210
849	1186	209
850	1188	208
851	1190	206
852	1191	205
853	1193	203
854	1194	202
855	1195	201
856	1196	199
857	1197	198
858	1198	196
859	1199	195
860	1200	193
861	1201	192
862	1202	190
863	1203	189
864	1204	188
865	1205	186
866	1206	185
867	1207	183
868	1208	182
869	1209	180
870	1210	179
871	1211	177
872	1212	176
873	1213	174
874	1213	173
875	1214	171
876	1215	170
877	1216	169
878	1217	167
879	1217	166
880	1218	164
881	1219	163
882	1220	161
883	1220	160
884	1221	158
885	1222	157
886	1223	155
887	1224	154
888	1225	153
889	1226	151
890	1227	150
891	1228	148
892	1230	147
893	1231	145
894	1232	144
895	1233	143
896	1234	141
897	1235	140
898	1236	138
899	1237	137
900	1238	136
901	1239	134
902	1240	133
903	1241	131
904	1242	130
905	1243	129
906	1244	127
907	1245	126
908	1247	124
909	1248	123
910	1249	122
911	1250	120
912	1251	119
913	1252	117
914	1253	116
915	1254	115
916	1255	113
917	1256	112
918	1257	110
919	1259	109
920	1261	108
921	1263	106
922	1264	105
923	1266	104
924	1268	102
925	1269	101
926	1270	100
927	1271	98
928	1272	97
929	1274	95
930	1275	94
931	1276	93
932	1277	91
933	1278	90
934	1279	88
935	1280	87
936	1281	86
937	1282	84
938	1283	83
939	1284	82
940	1285	80
941	1287	79
942	1288	77
943	1289	76
944	1290	75
945	1292	73
946	1293	72
947	1294	70
948	1295	69
949	1296	68
950	1297	66
951	1299	65
952	1300	64
953	1301	62
954	1303	61
955	1304	60
956	1305	58
957	1306	57
958	1307	55
959	1309	54
960	1311	53
961	1312	51
962	1313	50
963	1314	49
964	1315	47
965	1316	46
966	1318	44
967	1319	43
968	1320	42
969	1321	40
970	1323	39
971	1324	38
972	1325	36
973	1326	35
974	1328	34
975	1329	32
976	1331	31
977	1332	29
978	1334	28
979	1335	27
980	1337	25
981	1338	24
982	1339	23
983	1340	21
984	1341	20
985	1342	19
986	1343	17
987	1344	16
988	1346	14
989	1347	13
990	1348	12
991	1349	10
992	1350	9
993	1351	8
994	1352	6
995	1353	5
996	1354	4
997	1355	2
998	1356	1
999	1357	0
